Acinar_cell	B_cell	Ductal_cell_type_1	Ductal_cell_type_2	Endocrine_cell	Endothelial_cell	Fibroblast_cell	Macrophage_cell	Stellate_cell	T_cell
SIKE1	10722778.56	931994.915	5472236.0775	59161134.5075	5186082.4375	2121328.9825	37791681.9375	4011221.3225	7099224.63	939409.305
TSPAN2	1413568.535	21612.8	2546366.98	9174208.14	6739088.53	1434593.95	26831492.6325	284256.54	1848882.545	187484.7675
RP4-666F24.3	84815.985	5969.84	60247.6	358481.9875	435108.2075	0	25503.3825	4204.08	16276.975	20989.0325
NGF	249657.695	9439.9525	139424.9125	424454.235	95249.905	77295.21	5925704.3525	93341.0975	10750233.99	24058.475
VANGL1	4066714.2675	60908.1825	3367229.51	15162060.945	866535.235	1190327.545	10006401.1675	446913.535	2373803.8575	84929.1925
CASQ2	333934.055	8925.605	32782.7575	324503.7425	333087.475	53539.46	659509.6675	36552.03	6184496.3275	13306.5625
NHLH2	0	0	0	45481.8825	49395.2325	0	0	0	0	0
SLC22A15	1411154.145	65389.775	704910.25	6764640.125	1540757.475	70520.0625	4728642.375	1075426.19	710417.1575	46142.7975
ATP1A1	198043652.3725	3013418.95	298263778.6175	593971748.89	72908120.68	29143002.375	205316415.1025	23136864.65	40355635.51	4884111.3175
RP5-1086K13.1	332193.3975	18703.265	597215.1275	790630.685	96043.085	24269.13	132962.635	52220.9775	30781.73	11415.3525
CD58	7824915.22	1043495.1175	8501710.5875	81695876.065	4209395.285	3940891.1975	34904248.82	13690505.3725	8179930.105	2075136.12
IGSF3	2408312.905	33949.6375	3332749.97	13470113.64	871184.1875	126404.6925	3729879.0075	178400.1875	809403.2025	38684.8275
CD2	7960604.155	566662.1125	3823656.045	11737026.795	7482333.025	1236653.3425	17174653.54	4980490.7725	6020402.9925	22070361.4
PTGFRN	13685338.295	98500.865	5604163.99	28533265.0525	2316475.4625	1490669.8125	95923894.8425	1192399.9525	4477946.18	189764.6575
CD101	83225.8575	11727.6025	99814.675	662666.1825	243679.005	36031.84	1535337.9125	675327.19	228310.435	172265.365
TTF2	4231232.5125	751706.145	2009128.3375	13405810.7675	2072419.64	522066.0825	7614763.725	1747609.4375	1730281.1875	588492.9975
TRIM45	2582044.675	3145.8575	1013698.24	3106029.8525	433899	97736.595	2076619.1425	136325.675	373142.275	37079.165
VTCN1	7006739.8475	22231.495	10074239	9139551.855	924663.4825	117904.48	1418995.7775	206205.2025	243914.5325	35785.9225
RP11-188D8.1	249275	9604.0825	64382.5225	485361.9175	191592.6225	16565.0475	338474.755	27706.7375	62145.635	9185.775
MAN1A2	26391552.18	833428.145	9930119.0825	60645095.7025	13545864.52	4100033.195	57699649.9325	3837262.125	10630698.86	1339785.6275
FAM46C	13967384.4675	456217.72	693344.31	6565343.875	15443379.895	219333.3925	4893071.51	453025.5425	862575.305	1951424.8475
GDAP2	3748277.79	329535.125	2028366.295	14482681.945	1676140.4225	622397.35	10187046.705	1623766.2075	2324110.1375	317598.58
WDR3	4650196.6375	364950.35	1810912.3625	17820965.8025	1639334.245	989788.6425	14661923.84	1023153.9775	3251749.4225	285064.955
SPAG17	0	3096.3525	461800.92	4934485.6575	146053.855	19254.02	1295043.8775	28886.5625	139820.4825	4721.3725
TBX15	0	0	24674.685	5383845.195	191590.95	23885.0325	1452352.4175	41107.6275	872436.93	6493.9475
WARS2	6458227.6	294724.4475	2622231.575	13626381.71	1841532.015	525982.625	14179246.395	845867.44	3554179.2625	246056.6975
RP11-418J17.1	837043.7375	91737.8125	385405.7925	2775778.065	436920.1275	145054.52	1765313.01	197274.515	480087.695	64944.8375
ZNF697	2006483.5275	12050.3125	890362.2225	2286115.1325	2217269.62	180051.7275	6300823.9375	327207.9725	899405.6925	16797.355
PHGDH	21915365.7475	1159590.95	22081390.36	17596857.47	4911321.7175	261116.95	25855053.995	862659.205	4367897.6025	449553.5725
HMGCS2	495664.23	17968.05	237926.5325	27635385.9925	1256582.5675	80066.96	1087248.79	102067.23	237381.185	33304.3925
REG4	27257923.2875	237446.045	3271615.305	1123795127.74	12290567.0075	1563264.5825	11018704.5025	2066017.6075	4544124.765	402551.235
NOTCH2	18562572.2775	567872.6375	15655660.2875	40175227.66	4395550.1	603501.9825	75604746.815	4483329.4025	7518705.435	675600.3875
RP11-439A17.7	249453.0575	84008.925	500910.9575	2134075.215	430688.48	384544.8075	4121201.7775	1087305.6925	734550.5725	125928.0575
FAM72B	163425.2075	136945.4875	189022.0625	1853164.6475	338691.235	117827.2925	681415.8075	793089.3575	153896.1025	67002.5825
FCGR1B	584500.9975	15158.74	103859.78	464239.0975	290207.67	63881.63	522187.68	6608088.1025	624642.3425	27381.47
RP11-343N15.5	3733531.155	334769.225	4609029.4225	19664411.41	5001028.32	3238522.8175	42722153.365	5985626.7875	7786057.0125	394195.9075
RP11-344P13.4	0	0	0	89999.3625	0	0	0	0	0	0
RP11-344P13.6	83724.9175	88635.595	324278.84	1555315.395	961115.67	19630.375	291335.8625	89375.245	38845.8475	128146.9325
RP11-417J8.6	0	24916.34	75279.8525	561535.895	143950.8775	491171.29	294469.9225	54217.7375	100491.335	17135.07
RP11-423O2.5	830079.735	49421.655	473014.255	3780456.32	725200.4725	157415.0625	2430849.845	108017.8775	502387.5875	42682.355
RP11-782C8.1	1163939.9425	43945.4025	437392.675	2445869.7375	435423.5675	125760.1975	1764651.9775	120555.27	337463.7275	41295.365
RP11-782C8.5	414535.4575	45227.845	100756.5325	1017900.555	336006.9125	496306.065	954422.5775	49601.2675	206968.6125	26802.5625
RP11-435B5.3	81418.345	20839.86	59364.71	699381.2875	142050.8325	292981.1275	771830.93	40243.8925	67905.185	15608.4725
RP11-435B5.4	331336.7975	18143.2975	140729.9975	812201.95	336539.1725	23580.61	629824.895	59718.24	87070.93	19765.0875
RP11-435B5.5	83647.5425	2800.6525	47256.62	135729.9225	145953.975	103741.205	182716.6225	9231.2475	52794.84	9179.7475
RP6-206I17.2	166260.145	32164.89	123102.5925	1001677.93	291498.835	4581.37	261524.53	74418.0825	72129.7275	37266.5375
FAM72D	247425.02	416774.11	51262.7375	1961031.9875	49239.295	98542.11	393982.3225	490557.045	186706.98	164492.3325
LINC00623	334665.245	48531.2775	188122.51	1189512.3675	435007.9475	24271.7125	793765.8525	114879.7175	225220.9525	81092.5875
AL592284.1	11827096.26	1991279.7425	11486131.5975	31145967.2775	9265414.32	324350.5	17166175.5025	1900546.5525	3056863.3575	1356816.2175
RP11-640M9.1	13875308.275	1297999.325	12826868.7775	48353535.315	8909150.665	770079.8675	23008836.1125	2781608.615	4315532.0225	1614622.2025
NBPF9	5655299.5775	324977.8075	6067543.665	16916095.0425	2025699.9275	615042.28	24248170.115	1987288.9225	3431450.0525	363681.78
RP4-791M13.3	493813.1875	15611.5625	189453.17	1140516.99	388611.825	31592.285	1522676.9025	39789.3775	317875.47	22294.77
PDE4DIP	12082229.0775	571982.1625	12043212.095	32987208.975	25065309.63	732764.815	51213876.7975	6666635.4725	6107816.9675	930130.4775
AL590452.1	2155006.875	114915.53	2480681.255	4700537.0925	865553.7925	30362.075	4580161.795	297067.725	833746.885	100251.1
RP11-326G21.1	1660229.875	89080.3975	1234830.5075	3404638.4125	772410.3725	50694.4075	6132048.145	211076.005	1017164.55	96168.4725
NOTCH2NL	24012195.6975	1652876.47	26830227.4675	84652077.0075	6069057.395	697799.7375	60767036.93	8308087.2525	8618210.1575	1519092.085
NBPF10	20364240.52	915285.3175	21674032.715	56372743.385	4632702.065	718839.1325	67565187.1375	6218279.5525	8288329.64	859180.125
RP11-458D21.1	85773.785	12467.155	170177.915	1149096.9	145551.4275	9142.1375	343403.4	14002.195	163972.8275	3909.7525
TXNIP	170710256.93	28075095.585	92567333.16	885016926.79	105314098.6175	86244926.885	608137376.085	120928509.7525	96562783.215	42006318.5525
POLR3GL	18481392.865	3073044.055	12956663.855	82688237.995	16061965.5125	5506708.0075	77343365.4875	9186421.2475	16578830.795	3904185.7575
ANKRD34A	330469.6975	49090.6175	100224.71	1297922.395	142140.6375	72707.0675	846661.1175	59331.72	492464.4575	41368.11
RP11-315I20.1	503789.3825	83093.5625	229178.4725	1723054.39	193720.3	31609.485	399081.56	63983.1775	125960.0925	21890.0775
LIX1L	5238329.2075	767052.2975	2885428.5225	13823885.74	5551316.4925	4228486.7025	55200536.3775	3131961.1925	12467315.2525	1071097.6675
RBM8A	58130677.3	9421963.7925	35392655.3775	282920011.835	32671137.05	16263074.63	189731128.1375	25801216.82	44006029.8175	7398580.5075
PEX11B	8632210.31	795395.84	4966685.415	37266529.325	5830612.05	1345108.93	21829908.585	2258397.9975	4280399.48	675336.5425
ITGA10	336901.7675	49644.775	415123.105	5741595.565	1449570.03	3749837.6475	18153096.1825	233916.7325	1318551.3025	56636.1325
ANKRD35	411739.7	25132.0675	281002.3775	1968915.9525	672625.5775	182964.3475	41537071.19	275655.9	3356028.4775	370077.8325
PIAS3	6752610.9675	279810.8425	4019595.8825	32757768.185	3521444.7175	2272495.805	33297354.275	1473522.92	5698568.15	444905.0375
NUDT17	1004761.495	216368.675	772799.805	3128089.515	671510.59	135097.3075	3156073.79	294095.5875	354865.195	107624.29
POLR3C	5734606.91	634584.035	1963574.625	10346248.615	1837901.055	701818.2325	15810804.1175	1551726.425	2657447.6825	327839.195
RNF115	18185013.9	1419963.3225	9019270.0025	45506781.21	11854091.13	7856698.3675	67550439.4025	4949473.115	14649913.79	1637947.8675
CD160	244724.9925	6441.5575	67894.61	382158.38	194255.8825	46240.8	449113.2075	64211.3625	187783.0375	363621.94
PDZK1	2327934.4975	22608.845	1913675.235	17063379.655	3704835.0775	52893.905	939136.7225	95638.46	162613.645	45408.1175
GPR89A	5393690.3625	444141.1025	3040125.1475	19058658.765	3081132.9775	777002.165	14065164.83	1150187.735	2479834.29	442141.975
NBPF11	82738.6475	12709.87	206145.9725	956744.425	242349.59	34069.6225	941701.38	76735.13	172875.02	13195.1225
NBPF12	4825981.215	388425.63	3657176.2675	12600808.8025	2881192.99	599364.475	11692276.9275	1099764.9925	1800312.435	309444.0875
PRKAB2	5994479.56	247488.46	3505056.82	21409862.2175	2555501.2975	621082.03	25977386.58	996141.4675	3910371.97	230127.1325
RP11-337C18.8	830948.7925	88569.7125	799640.595	3546642.47	1210309.3525	150717.67	2651287.575	245052.445	616838.72	89876.895
FMO5	8160619.1275	287525.725	12519016.455	43379282.045	3308923.32	421999.695	5786139.8825	724887.5625	953906.7	126360.635
CHD1L	4318964.6975	750560.58	2670302.75	19755994.3725	4770567.7175	920363.675	20858748.9075	2277014.0325	3930559.4275	484942.3625
BCL9	2736117.165	69155.83	2123261.1575	8298936.2225	2559742.9925	406128.0825	9446228.01	260125.745	1226824.6425	97125.875
ACP6	6065939.735	131134.1375	3095332.9625	26941392.565	2652374.135	342172.0275	6188148.02	608845.1825	1273609.07	375743.235
GJA5	578061.62	30736.6575	182527.91	913583.295	673746.22	4019132.725	3033592.7525	127605.69	2364227.6375	46704.2875
GPR89B	0	17813.3875	92466.815	647446.2825	242531.015	22285.94	285920.7425	26723.755	79280.1575	16335.72
RP11-495P10.8	84543.985	0	0	391108.0925	0	4482.5225	259449.9975	13267.9025	0	4292.91
RP11-495P10.3	0	0	8573.165	60291.8025	0	0	26643.3525	0	7909.1725	0
RP6-74O6.6	0	0	17180.9375	852771.9525	97566.865	7597.2925	78753.1375	4822.175	23984.4275	6614.8675
LINC01138	83487.955	6228.815	41384.83	99446.9875	0	1637.745	157608.885	4253.685	39944.835	4322.325
NBPF14	1329685.23	91422.13	1112905.05	3887385.7375	96349.44	33631.685	6157441.205	631521.045	965335.9275	105745.5425
RP11-89F3.2	0	28099.575	113863.32	178211.445	96038.64	25967.5525	235605.2725	22201.4825	47247.2025	64894.42
NBPF20	1495109.42	92908.33	863573.5425	3330801.555	432138.4925	391171.505	4055627.96	352169.1725	583075.2475	72007.3025
NBPF15	10975926.735	1313562.525	12445968.835	36869227.99	1885827.82	1032554.1175	44291360.33	5569472.725	6795337.5225	871378.0275
RP11-666A1.5	165538.3	55094.565	147607.3925	1058172.22	240956.1375	16707.8025	258845.6925	91631.535	143127.9725	169659.6775
NBPF16	579825.455	72894.1225	995918.55	3128656.4025	47496.3475	65762.8125	3308316.4975	297029.76	499084.1325	37405.99
RP11-763B22.4	667235.4225	152776.7475	385636.3575	1822106.54	1161154.7075	49037.2125	780668.525	152220.27	324314.455	311868.375
RP11-14N7.2	6148898.565	297328.235	5101713.6375	68148978.3925	6029425.595	1080448.16	76650052.47	1043808.115	10412947.735	240155.2575
RP11-403I13.5	415991.8575	12456.355	121978.6975	3461701.7775	193315.8025	14488.5475	501036.4175	158184.1	101523.4125	16051.395
RP11-403I13.4	2159506.5825	19464.225	836659.8175	3030104.7775	1110641.605	15250.98	1960342.8325	114985.25	379275.8	46915.215
LINC00869	0	0	23579.4775	76579.615	47766.13	7494.17	77384.645	4280.415	7811.5125	2394.195
RP11-403I13.8	1671702.4375	207315.785	1625603.9225	5925598.8325	1793302.8975	512050.305	6605565.3425	451817.9175	858157.185	243518.455
FAM72C	0	150003.9975	33165.7	1082125.23	0	38607.775	158938.2675	193739.04	64942.295	62261.14
RP11-277L2.4	837727.1725	170350.6775	363392.085	3902059.74	720221.07	117310.1325	1951570.025	183756	319302.21	217432.845
RP11-277L2.3	3498719.2225	508442.1975	2456268.9475	9037440.6825	2706796.0575	115994.38	4354766.0225	535757.015	834948.4825	424958.7275
RP11-277L2.5	247996.845	2963.8975	241944.3275	582883.6325	2365905.845	13331.8575	3401497.3775	197601	164207.48	15186.5675
RP11-353N4.1	165273.195	6220.8275	312201.5575	560262.1725	2408858.1125	4357.02	2057842.7625	285889.96	45892.75	22980.3575
RP11-353N4.4	415313.3575	63522.45	442258.3025	1565442.0875	388954.47	107063.45	1342945.565	99412.8875	251186.4625	71465.325
FCGR1A	1246783.13	64009.255	400657.115	2248009.82	633975.6075	228846.355	2905898.3775	25063728.625	2554604.49	88984.345
HIST2H2BF	2251952.28	713655.2	1136537.6725	1729503.6975	533454.5875	100628.6875	1317747.7575	481234.7425	529924.3975	152096.1675
RP11-196G18.3	164713.515	0	16896.9575	347440.925	0	3278.225	25352.7775	23010.855	8112.6775	0
RP11-196G18.23	836154.54	153608.7475	723329.4425	3569124.7725	1443705.565	175844.1675	2786186.0675	233971.495	674311.4175	108881.84
HIST2H4A	662129.1825	494328.3875	336035.9425	579697.25	99174.5825	48339.6025	507736.7275	191687.8175	78201.0275	137713.885
HIST2H2AA3	10079643.365	1214362.2175	7555398.4425	96793709.8675	12201924.3425	1407012.3325	21789287.59	7784347.555	4839361.16	1354066.9575
RP11-196G18.24	745843.625	89497.405	490279.5175	6289641.5725	521905.77	69422.8175	1425659.1725	239469.485	351049.2075	85430.0625
HIST2H2BE	5822443.7775	1131059.1875	5445716.715	53096656.7075	7725278.32	915217.0075	8601249.295	2348588.1725	3688152.0075	791485.2475
HIST2H2AC	3156555.1675	890189.9925	2451479.5175	11101120.52	2360687.65	472037.34	6158621.88	1602051.4375	1634797.605	555974.1775
HIST2H2AB	1078901.9675	434137.5925	290963.115	638154.1975	336276.9475	59751.775	901359.07	186526.04	176959.1675	108480.005
BOLA1	9293451.1775	378797.6525	6062889.0425	30403104.065	4956665.9125	1339972.455	26037243.1475	1552615.6675	5660720.1525	619916.195
SV2A	417333.77	17890.565	81787.38	412604.265	3477531.12	335438.4125	10520491.92	83624.8025	1488992.9325	70300.91
SF3B4	14232920.115	1836880.7725	9491150.9525	61844069.855	7449080.185	2367771.47	46556323.15	5074896.9925	11784429.5625	1503889.7575
MTMR11	5402442.8375	137263.9275	3422216.5	96907962.3475	3955615.6425	961780.65	34660972.015	2706444.3825	4865337.4775	360711.96
OTUD7B	7146478.2325	98015.755	3707646.3675	29047581.205	3384667.9775	1612451.36	22423055.4175	368849.5975	3870197.4525	237279.3975
VPS45	6584791.055	407186.9675	3763073.5025	21024382.465	4628677.6675	1221080.815	19473524.1775	1965578.6375	4742631.99	463345.0675
PLEKHO1	5151919.895	1559734.2975	1704090.155	6215963.5575	2988686.7725	3627992.3775	52048819.235	11405144.665	11632345.71	999661.9025
ANP32E	11604219.8	5343139.68	8671725.4775	73456334.7775	10255883.415	3351057.0475	61701179.2475	8555818.0025	12855325.915	3755155.2725
CA14	164447.51	3236.065	58934.5325	5581666.2925	146090.5875	14193.7075	128980.445	48959.2775	46970.01	14873.94
APH1A	37360749.605	2968245.3175	21625197.7325	167875939.55	15378923.7325	6343229.3275	103366892.7375	13509010.4575	12246865.2175	2715097.44
C1orf54	2995297.125	216955.7475	1145739.2325	7559077.595	2794101.74	15572971.3625	85002827.1275	15839635.765	30975089.9125	342467.8075
C1orf51	755077.245	18808.155	440420.025	16298094.7825	1918406.585	193165.4175	5944070.4275	224138.83	958438.815	34855.94
MRPS21	110739278.555	8469059.505	53301741.29	408150291.71	52266868.5175	15804639.6275	319959407.4225	31117193.9625	68370271.6	7553788.4325
PRPF3	4816720.5375	669295.6775	3627949.075	24502604.5725	3287381.4375	1310996.395	15012435.8825	1732648.5925	3955748.8425	576792.65
RPRD2	13450671.82	462232.0925	6989128.315	32386051.795	5489304.5525	1516569.96	21307409.59	1732676.3	4476108.315	531115.5425
TARS2	4417114.78	564184.79	2211438.17	17573586.81	2611455.4675	682481.6675	10910583.66	1325189.615	2005456.165	437317.4425
ECM1	1819798.4275	212348.5175	837613.4425	70731297.625	2662813.9075	713827.3725	139136140.67	2038429.77	19845711.71	451910.0125
LINC00568	413889.24	66057.2725	592651.815	6114504.7625	1202399.6125	70911.62	2473511.2925	101608.8075	361777.235	57146.3475
ADAMTSL4	923262.3175	22073.9825	450623.76	8625707.035	678764.5825	263645.23	8934152.04	3024414.3075	919828.125	95994.505
MCL1	96836677.6	3597222.425	47236128.775	299365767.7975	33925051.145	30520876.1375	418759125.2375	61099275.34	61226173.8825	6795982.7025
ENSA	47500471.0275	6488804.1075	32411417.7025	241608917.355	38610069.2625	11179635.4	116376661.9875	21830693.6275	33178339.835	5810016.055
GOLPH3L	12560633.215	627545.58	6520682.6	52970741.2575	5337325.0925	1603155.26	22681936.715	1542061.09	3201627.0325	477522.1875
CTSS	37712835.6775	8288840.8275	27715928.3725	223968366.2775	16783675.1175	6839437.92	62350427.0525	161954015.905	20005550.29	5458137.765
CTSK	4829000.7125	241790.54	2589858.2875	17481168.655	6130905.4175	750872.1625	907932764.4175	4453557.215	16440363.805	1611866.7525
ARNT	10802957.4525	320174.14	4513333.1675	20585418.955	3671314.875	1415507.7825	33096769.0075	2178883.3425	4905970.8725	387755.7075
SETDB1	4238245.52	369601.0175	2946373.185	16037764.9775	2901324.6175	793668.7375	10186992.17	1715932.82	2173205.66	294310.7125
CERS2	39967501.695	939324.9325	18658846.975	97154269.545	10192653.5125	4196370.85	66263812.7975	5401326.2975	10409188.77	1195913.2225
ANXA9	8608147.24	45950.6725	16974130.5075	12509022.635	1682496.225	141624.245	2085562.7475	251224.53	391126.4575	61170.2375
FAM63A	4415088.8225	103712.5675	3402004.415	12104369.675	3763872.2775	602092.8375	8977117.56	553311.65	1558660.41	182006.665
PRUNE	2405899.9825	234936.3325	2005123.1825	11921893.7175	3201265.2375	449546.4225	8504148.3825	602484.81	1754697.0525	196334.55
BNIPL	0	15373.8325	41896.7825	627770.635	192701.4	10648.955	129673.74	72331.0975	73274.0325	6628.715
C1orf56	11313962.5925	1463651.15	6985395.2725	53084617.505	7923663.485	4415216.935	65872579.1725	6455235.9225	15922304.375	2507964.5125
CDC42SE1	19839801.7425	1975658.475	8788865.175	81039922.5075	14004224.7025	5473816.4475	69416402.3175	11019767.8275	15942900.4725	2909213.0375
MLLT11	911149.0575	127109.97	919913.6725	8739623.765	7770752.6875	355296.5275	58925038.365	1262026.0875	7247637.38	325317.1575
GABPB2	5215903.1425	492654.0275	3925319.2725	20472490.7575	3962401.2825	910262.0275	19341517.5075	1303748.68	4667076.5175	465588.9475
SEMA6C	831246.96	21205.4875	395814.075	1275018.6275	435824.6125	1153490.9525	3797120.7475	158745.0525	715444.2125	76189.1925
TNFAIP8L2	833853.6225	424493.3925	302803.98	1212172	723013.04	116959.2875	2106283.405	6820272.4825	637367.5175	653066.225
SCNM1	11571462.8525	1639649.2375	7915668.38	62684275.0025	7939725.325	2179953.915	48616410.755	7687608.56	10485123.445	1559742.52
LYSMD1	1157315.3275	39532.63	862823.365	4569113.36	1254739.945	167639.2925	4471140.8875	106056.035	1048921.18	33010.5575
VPS72	15721864.9575	993088.315	8609655.2425	52540861.3975	7354192.4075	2157454.535	36109736.8025	3690445.06	9254043.1275	970735.4125
PIP5K1A	6578391.51	532583.01	4270952.4175	26214770.575	3243671.055	1191555.7875	24661967.545	1925121.015	4493369.3975	404075.975
PSMD4	45233157.1575	5293057.865	23278131.445	197834733.9075	20383138.2575	7837964.2475	134273897.275	17361163.7075	36745403.985	4484402.52
RP11-126K1.2	1654758.3675	141798.8075	453077.53	4425310.5775	621149.2775	122084.255	1704833.485	268783.43	255300.41	43493.895
ZNF687	4406416.7125	207940.5025	2172070.2375	13571664.4125	1932747.93	638847.7175	8039745.4075	951695.46	1792773.65	174114.715
PI4KB	9778326.68	783316.3525	5744209.3725	29903588.21	6217236.72	1627774.425	31513229.1375	2562144.25	5707961.1275	829664.5425
RFX5	5742808.82	1653675.7225	3713783.9475	23305445.57	2372421.4875	1547547.6425	11201451.5875	2775765.93	2873610.0475	708160.6975
RP11-126K1.6	1084338.02	584154.38	658387.905	1267055.5975	671095.1375	456303.865	2018934.4475	1224512.2575	465836.715	111478.645
SELENBP1	8461684.39	195057.47	7279965.7075	68925892.3975	5633109.4075	1238585.845	41444752.48	873694.4475	16653661.35	195051.275
PSMB4	36399361.2775	3262102.67	17813260.3625	144784426.51	17834784.675	6514309.9625	105998884.75	12706437.72	20572860.08	2842061.3425
POGZ	23915582.5825	1314519.0975	15802247.2525	68896779.39	14083491.28	5142464.9775	59314382.3025	4802432.8875	12020095.36	1193858.1975
CGN	9384675.975	100248.5075	6245114.1025	75928596.495	3576769.835	359923.655	4275486.9275	666041.005	888528.095	167363.0825
TUFT1	3827794.0625	81237.2675	2720403.6325	36211912.2375	2901878.425	243843.87	5435686.38	414369.7	771764.365	182000.8975
SNX27	10136705.5225	497215.0425	9794413.2325	47710614.0325	7239982.9525	1935921.4975	37878956.9075	5958173.61	6610724.015	603709.895
CELF3	250357.775	0	40379.7275	320634.965	6174684.7625	24843.4925	151234.805	8957.7925	63823.6075	4230.23
RIIAD1	498245.285	0	771746.8875	564360.675	1935534.2675	21255.52	547376.19	18612.7075	301312.68	2382.7225
MRPL9	16212200.865	2661534.82	11147502.0225	68760644.165	8585230.7625	5603718.655	49667411.8525	5598746.3725	12298284.355	2138052.725
OAZ3	909367.9175	31690.1475	355856.7	6533364.0675	193025.415	970611.2725	1847521.3475	318955.3	390613.45	43928.7
TDRKH	825756.8575	140889.2425	603932.0675	3575610.0275	535636.485	184902.4475	680801.525	240499.3175	88608.2025	121683.2875
RP11-98D18.9	580795.86	42821.5	294481.1125	2052151.575	483206.0825	31092.8025	367881.33	94642.4275	112137.4175	90691.995
RP11-98D18.17	0	0	0	43718.6025	47328.3625	1586.51	25950.61	4816.3175	0	0
RORC	8452192.4575	40351.45	5654635.2275	16652070.4625	4295869.16	144200.185	1619024.0025	258357.265	404005.365	364793.5175
C2CD4D	249256.0275	9292.765	541910.3625	2790221.8975	287564.3825	16105.8475	526772.8225	54119.21	78203.305	122566.85
THEM4	5569627.905	831837.325	5830479.6675	23323202.2475	5588557.3325	1117899.7325	16476511.77	1522258.575	2836529.8775	1500391.8525
S100A10	382435711.0125	13195311.225	403255614.2925	4232749139.7225	150696793.79	90613578.4525	1622988594.6625	249901324.9	79853918.27	22237162.85
S100A11	506190509.285	8997081.06	344550033.39	5227221848.705	184643683.9325	74791246.35	2152338413.8775	478292536.725	278018706.44	28650727.875
TCHH	0	12545.41	41234.29	689665.7975	48719.105	40591.95	639092.3575	497045.5075	87328.755	35908.465
FLG-AS1	498933.8675	3149.9725	138203.3275	90835.0425	534812.225	22246.7825	1128495.1075	17302.8225	55002.46	0
HRNR	163936.875	5838.1175	73978.7925	72031.8125	0	18127.91	156722.2975	18608.0775	56135.3725	8445.695
IVL	0	0	0	555030.535	0	1251.0325	26037.85	4393.065	8100.1	8802.1175
SPRR1B	1085369.06	97927.65	253259.565	44471650.08	576905.98	97657.305	1541571.6275	330447.8325	345047.03	119083.5375
PGLYRP4	414126.0575	0	365815.685	465842.1475	142992.6525	4048.8525	103801.3725	4540.6825	16162.99	2306.475
S100A9	27871313.5675	2887968.78	16784350.2125	509660506.695	16672288.59	5408256.775	78572548.43	256545967.255	39771208.155	3335266.715
S100A12	994499.2825	121720.7	287004.735	1783398.73	675404.88	295941.1375	3091340.845	12160740.065	3135172.3475	214576.005
S100A8	16616040.11	1989881.62	5735174.89	128587997.9	12020359.9325	4463061.6925	50880240.2175	199796671.1825	34358305.32	2221575.8
S100A7	0	24547.1175	49646.455	64510201.445	141230.35	24753.525	446047.99	303475.0525	293927.0925	104180.2825
S100A6	791930202.575	21724032.025	613569783.7975	22537069580.67	583053582.665	157194540.6075	5828818588.235	529317903.49	669302854.82	66826138.675
S100A4	104258555.73	8353783.0475	47865256.8825	1431165858.1425	127526976.015	18478536.775	958680042.0675	348134588.35	352759956.095	67432030.1825
S100A3	917050.355	21542.27	1188296.8875	5658647.94	821211.225	713351.5375	7404894.07	225584.39	5827285.535	36905.5275
S100A2	20185307.33	123738.7325	7559097.99	412222975.65	10749851.74	1662918.4925	41232084.47	3637182.1675	6662081.3775	567427.505
S100A16	32370468.225	746836.035	33285552.07	595661623.985	20396414.4225	23186104.7025	283306089.16	5570882.6825	11270896.3625	1537773.7425
S100A14	15997191.46	565939.2575	24549738.36	703063652.6675	14235142.65	1411533.1725	24337514.035	3447235.11	4826749.5475	1102104.8575
S100A13	106913986.5925	1135077.5425	106962151.13	462804615.9325	30778207.685	21216243.065	458559386.06	9237496.7675	30976000.3475	1700635.2
S100A1	3811591.2625	43112.5775	11975375.18	7010284.2525	3032716.675	115905.265	5976423.34	270880.47	559838.25	178944.06
RP1-178F15.4	250222.73	38405.9825	298695.88	1741800.37	94724.6625	75144.7775	1060084.835	76673.37	137558.62	6925.8975
CHTOP	28036532.1775	2576786.2425	18003476.62	106077314.775	14418847.3475	5194633.8325	64935200.745	7554177.7375	14299997.4	2066454.625
SNAPIN	16553431.285	2012453.0775	14452751.8625	64743117.6125	9078405.6425	3317836.455	50841333.38	7384775.71	13184333.3775	1401487.6275
ILF2	34124300.215	6156482.1525	21267634.5575	126837210.9425	15639027.3625	7341306.0175	138873851.3975	12158204.9775	23603837.93	4002425.97
NPR1	1584810.98	31972.9575	1182491.6975	1276901.395	1392174.075	3667923.73	2793659.935	177408.64	593351.925	75004.205
INTS3	9149187.1825	389667.3225	5567770.5125	31253588.085	5949392.4075	2701682.535	22184382.6475	1936805.93	4232201.3075	390089.795
SLC27A3	7130001.6125	258855.3475	3463178.59	18693375.8575	5018994.005	3093219.2325	21044531.9925	3379607.025	4723756.995	393865.6725
GATAD2B	11044366.6925	692859.4625	5862668.075	30779806.08	5497718.8975	2964469.735	26901327.6125	3292282.295	5387478.7775	752308.78
DENND4B	5407992.3075	667023.3575	2333814.63	13882109.2975	3955906.2625	1155486.275	12536876.8725	2971998.02	2644949.815	464101.9525
CRTC2	5725947.3425	596392.725	3008230.3525	21751564.5725	2895643.76	1256762.45	15986882.455	1828664.835	3850569.4225	542482.0175
SLC39A1	19013651.33	1132088.31	19812452.8875	129360399.6825	10285948.7975	7727133.2225	133318640.865	9387989.425	22924176.9525	1264901.19
